filename,en,es,fr,de,ja,ko,zh-Hans,zh-Hant,pt-BR,ru
"[Advent Bay, Spitzbergen, Norway].webp","landscape, arctic, mountains, bay, tundra, cabin, norway, spitzbergen, photograph, vintage","paisaje, ártico, montañas, bahía, tundra, cabaña, noruega, spitzbergen, fotografía, vintage","paysage, arctique, montagnes, baie, toundra, cabane, norvège, spitzberg, photographie, vintage","Landschaft, Arktis, Berge, Bucht, Tundra, Hütte, Norwegen, Spitzbergen, Fotografie, Vintage","風景、北極、山、湾、ツンドラ、小屋、ノルウェー、スピッツベルゲン、写真、ヴィンテージ","풍경, 북극, 산, 만, 툰드라, 오두막, 노르웨이, 스피츠베르겐, 사진, 빈티지","风景、北极、山脉、海湾、苔原、小屋、挪威、斯匹次卑尔根、照片、复古","風景、北極、山脈、海灣、苔原、小屋、挪威、斯匹次卑爾根、照片、復古","paisagem, ártico, montanhas, baía, tundra, cabana, noruega, spitzbergen, fotografia, vintage","пейзаж, арктика, горы, бухта, тундра, хижина, норвегия, шпицберген, фотография, винтаж"
"At the French Windows. The Artist's Wife.webp","painting, woman, portrait, garden, balcony, dress, spring, blossoms, trees, oil painting","pintura, mujer, retrato, jardín, balcón, vestido, primavera, flores, árboles, óleo","peinture, femme, portrait, jardin, balcon, robe, printemps, fleurs, arbres, huile","Gemälde, Frau, Porträt, Garten, Balkon, Kleid, Frühling, Blüten, Bäume, Ölgemälde","絵画、女性、肖像画、庭、バルコニー、ドレス、春、花、木々、油絵","그림, 여성, 초상화, 정원, 발코니, 드레스, 봄, 꽃, 나무, 유화","油画、女性、肖像、花园、阳台、裙子、春天、花朵、树木、油画","油畫、女性、肖像、花園、陽台、裙子、春天、花朵、樹木、油畫","pintura, mulher, retrato, jardim, varanda, vestido, primavera, flores, árvores, óleo","картина, женщина, портрет, сад, балкон, платье, весна, цветы, деревья, масло"
"Bemberg Fondation Toulouse.jpg","painting, impressionist, pointillism, garden, blossoms, trees, gate, spring, colorful, oil painting","pintura, impresionista, puntillismo, jardín, flores, árboles, puerta, primavera, colorido, óleo","peinture, impressionniste, pointillisme, jardin, fleurs, arbres, portail, printemps, coloré, huile","Gemälde, Impressionismus, Pointillismus, Garten, Blüten, Bäume, Tor, Frühling, farbenfroh, Ölgemälde","絵画、印象派、点描主義、庭園、花、木々、門、春、カラフル、油絵","그림, 인상주의, 점묘법, 정원, 꽃, 나무, 문, 봄, 다채로운, 유화","油画、印象派、点彩画、花园、花朵、树木、大门、春天、色彩缤纷、油画","油畫、印象派、點彩畫、花園、花朵、樹木、大門、春天、色彩繽紛、油畫","pintura, impressionista, pontilhismo, jardim, flores, árvores, portão, primavera, colorido, óleo","картина, импрессионизм, пуантилизм, сад, цветы, деревья, ворота, весна, красочный, масло"
"Eide : Granvin DATE ca. 1910.webp","village, norway, fjord, harbor, boats, houses, mountains, coastal, photograph, vintage","pueblo, noruega, fiordo, puerto, barcos, casas, montañas, costero, fotografía, vintage","village, norvège, fjord, port, bateaux, maisons, montagnes, côtier, photographie, vintage","Dorf, Norwegen, Fjord, Hafen, Boote, Häuser, Berge, Küste, Fotografie, Vintage","村、ノルウェー、フィヨルド、港、ボート、家、山、海岸、写真、ヴィンテージ","마을, 노르웨이, 피오르드, 항구, 배, 집, 산, 해안, 사진, 빈티지","村庄、挪威、峡湾、港口、船只、房屋、山脉、海岸、照片、复古","村莊、挪威、峽灣、港口、船隻、房屋、山脈、海岸、照片、復古","vila, noruega, fiorde, porto, barcos, casas, montanhas, costeiro, fotografia, vintage","деревня, норвегия, фьорд, гавань, лодки, дома, горы, побережье, фотография, винтаж"
"Gathering Autumn Flowers A1758.jpg","painting, field, meadow, women, parasol, flowers, autumn, sky, clouds, impressionist","pintura, campo, pradera, mujeres, sombrilla, flores, otoño, cielo, nubes, impresionista","peinture, champ, prairie, femmes, parasol, fleurs, automne, ciel, nuages, impressionniste","Gemälde, Feld, Wiese, Frauen, Sonnenschirm, Blumen, Herbst, Himmel, Wolken, Impressionismus","絵画、野原、草原、女性、パラソル、花、秋、空、雲、印象派","그림, 들판, 초원, 여성, 양산, 꽃, 가을, 하늘, 구름, 인상주의","油画、田野、草地、女性、遮阳伞、花朵、秋天、天空、云彩、印象派","油畫、田野、草地、女性、遮陽傘、花朵、秋天、天空、雲彩、印象派","pintura, campo, prado, mulheres, sombrinha, flores, outono, céu, nuvens, impressionista","картина, поле, луг, женщины, зонтик, цветы, осень, небо, облака, импрессионизм"
"Henri-Edmond Cross .jpg","painting, pointillism, sunset, clouds, pink, sky, trees, landscape, neo-impressionist, oil painting","pintura, puntillismo, atardecer, nubes, rosa, cielo, árboles, paisaje, neoimpresionista, óleo","peinture, pointillisme, coucher de soleil, nuages, rose, ciel, arbres, paysage, néo-impressionniste, huile","Gemälde, Pointillismus, Sonnenuntergang, Wolken, Rosa, Himmel, Bäume, Landschaft, Neo-Impressionismus, Ölgemälde","絵画、点描主義、夕焼け、雲、ピンク、空、木々、風景、新印象派、油絵","그림, 점묘법, 일몰, 구름, 분홍색, 하늘, 나무, 풍경, 신인상주의, 유화","油画、点彩画、日落、云彩、粉色、天空、树木、风景、新印象派、油画","油畫、點彩畫、日落、雲彩、粉色、天空、樹木、風景、新印象派、油畫","pintura, pontilhismo, pôr do sol, nuvens, rosa, céu, árvores, paisagem, neoimpressionista, óleo","картина, пуантилизм, закат, облака, розовый, небо, деревья, пейзаж, неоимпрессионизм, масло"
"Man with rickshaw on tall tree lined dirt road.webp","photograph, road, trees, rickshaw, path, forest, tall trees, japan, vintage, black and white","fotografía, camino, árboles, rickshaw, sendero, bosque, árboles altos, japón, vintage, blanco y negro","photographie, route, arbres, pousse-pousse, sentier, forêt, grands arbres, japon, vintage, noir et blanc","Fotografie, Straße, Bäume, Rikscha, Pfad, Wald, hohe Bäume, Japan, Vintage, Schwarzweiß","写真、道、木々、人力車、小道、森、高い木、日本、ヴィンテージ、モノクロ","사진, 길, 나무, 인력거, 오솔길, 숲, 키 큰 나무, 일본, 빈티지, 흑백","照片、道路、树木、人力车、小路、森林、高树、日本、复古、黑白","照片、道路、樹木、人力車、小路、森林、高樹、日本、復古、黑白","fotografia, estrada, árvores, riquixá, trilha, floresta, árvores altas, japão, vintage, preto e branco","фотография, дорога, деревья, рикша, тропинка, лес, высокие деревья, япония, винтаж, чёрно-белое"
"Miniature from an Akbarnama (detail) of Akbar wearing a bandhanī patkā over a gold-brocaded silk sash.jpg.webp","painting, miniature, mughal, emperor, akbar, throne, court, gold, turban, manuscript","pintura, miniatura, mogol, emperador, akbar, trono, corte, dorado, turbante, manuscrito","peinture, miniature, moghol, empereur, akbar, trône, cour, or, turban, manuscrit","Gemälde, Miniatur, Mogul, Kaiser, Akbar, Thron, Hof, Gold, Turban, Manuskript","絵画、細密画、ムガル帝国、皇帝、アクバル、玉座、宮廷、金色、ターバン、写本","그림, 세밀화, 무굴, 황제, 아크바르, 왕좌, 궁정, 금색, 터번, 필사본","绘画、细密画、莫卧儿、皇帝、阿克巴、宝座、宫廷、金色、头巾、手稿","繪畫、細密畫、莫臥兒、皇帝、阿克巴、寶座、宮廷、金色、頭巾、手稿","pintura, miniatura, mogol, imperador, akbar, trono, corte, dourado, turbante, manuscrito","картина, миниатюра, могол, император, акбар, трон, двор, золото, тюрбан, рукопись"
"Monet - The Gare Saint-Lazare.jpg","painting, monet, train station, steam, locomotive, impressionist, paris, railway, smoke, oil painting","pintura, monet, estación de tren, vapor, locomotora, impresionista, parís, ferrocarril, humo, óleo","peinture, monet, gare, vapeur, locomotive, impressionniste, paris, chemin de fer, fumée, huile","Gemälde, Monet, Bahnhof, Dampf, Lokomotive, Impressionismus, Paris, Eisenbahn, Rauch, Ölgemälde","絵画、モネ、駅、蒸気、機関車、印象派、パリ、鉄道、煙、油絵","그림, 모네, 기차역, 증기, 기관차, 인상주의, 파리, 철도, 연기, 유화","油画、莫奈、火车站、蒸汽、火车头、印象派、巴黎、铁路、烟雾、油画","油畫、莫奈、火車站、蒸汽、火車頭、印象派、巴黎、鐵路、煙霧、油畫","pintura, monet, estação de trem, vapor, locomotiva, impressionista, paris, ferrovia, fumaça, óleo","картина, моне, вокзал, пар, паровоз, импрессионизм, париж, железная дорога, дым, масло"
"The Drunkard's Children (Plate 1).webp","print, engraving, crowd, victorian, street scene, people, illustration, cruikshank, vintage, black and white","grabado, multitud, victoriano, escena callejera, gente, ilustración, cruikshank, vintage, blanco y negro","gravure, foule, victorien, scène de rue, gens, illustration, cruikshank, vintage, noir et blanc","Druck, Gravur, Menge, Viktorianisch, Straßenszene, Menschen, Illustration, Cruikshank, Vintage, Schwarzweiß","版画、彫刻、群衆、ビクトリア朝、街の風景、人々、イラスト、クルックシャンク、ヴィンテージ、モノクロ","판화, 조각, 군중, 빅토리아 시대, 거리 풍경, 사람들, 일러스트, 크루익생크, 빈티지, 흑백","版画、雕刻、人群、维多利亚时代、街景、人物、插图、克鲁克香克、复古、黑白","版畫、雕刻、人群、維多利亞時代、街景、人物、插圖、克魯克香克、復古、黑白","gravura, multidão, vitoriano, cena de rua, pessoas, ilustração, cruikshank, vintage, preto e branco","гравюра, толпа, викторианский, уличная сцена, люди, иллюстрация, круикшанк, винтаж, чёрно-белое"
"The Great Wave off Kanagawa.jpg","woodblock print, wave, ocean, hokusai, japan, mount fuji, boats, ukiyo-e, blue, sea","xilografía, ola, océano, hokusai, japón, monte fuji, barcos, ukiyo-e, azul, mar","estampe, vague, océan, hokusai, japon, mont fuji, bateaux, ukiyo-e, bleu, mer","Holzschnitt, Welle, Ozean, Hokusai, Japan, Berg Fuji, Boote, Ukiyo-e, Blau, Meer","木版画、波、海、北斎、日本、富士山、船、浮世絵、青、海","목판화, 파도, 바다, 호쿠사이, 일본, 후지산, 배, 우키요에, 파란색, 바다","木版画、波浪、海洋、北斋、日本、富士山、船只、浮世绘、蓝色、大海","木版畫、波浪、海洋、北齋、日本、富士山、船隻、浮世繪、藍色、大海","xilogravura, onda, oceano, hokusai, japão, monte fuji, barcos, ukiyo-e, azul, mar","гравюра на дереве, волна, океан, хокусай, япония, гора фудзи, лодки, укиё-э, синий, море"
"The Solfatara, and the issue of hot vapours from underground lakes.webp","illustration, volcano, landscape, geological, lake, steam, fire, figure, tree, scientific","ilustración, volcán, paisaje, geológico, lago, vapor, fuego, figura, árbol, científico","illustration, volcan, paysage, géologique, lac, vapeur, feu, figure, arbre, scientifique","Illustration, Vulkan, Landschaft, geologisch, See, Dampf, Feuer, Figur, Baum, wissenschaftlich","イラスト、火山、風景、地質学、湖、蒸気、火、人物、木、科学","일러스트, 화산, 풍경, 지질학, 호수, 증기, 불, 인물, 나무, 과학","插图、火山、风景、地质、湖泊、蒸汽、火焰、人物、树木、科学","插圖、火山、風景、地質、湖泊、蒸汽、火焰、人物、樹木、科學","ilustração, vulcão, paisagem, geológico, lago, vapor, fogo, figura, árvore, científico","иллюстрация, вулкан, пейзаж, геологический, озеро, пар, огонь, фигура, дерево, научный"
"The Whale Car Wash, Oklahoma City, Oklahoma.webp","photograph, whale, building, roadside, blue, car wash, americana, kitsch, architecture, vintage","fotografía, ballena, edificio, carretera, azul, lavado de autos, americana, kitsch, arquitectura, vintage","photographie, baleine, bâtiment, bord de route, bleu, lavage auto, americana, kitsch, architecture, vintage","Fotografie, Wal, Gebäude, Straßenrand, Blau, Autowaschanlage, Americana, Kitsch, Architektur, Vintage","写真、クジラ、建物、道端、青、洗車場、アメリカーナ、キッチュ、建築、ヴィンテージ","사진, 고래, 건물, 길가, 파란색, 세차장, 아메리카나, 키치, 건축, 빈티지","照片、鲸鱼、建筑、路边、蓝色、洗车场、美式、奇趣、建筑、复古","照片、鯨魚、建築、路邊、藍色、洗車場、美式、奇趣、建築、復古","fotografia, baleia, edifício, beira da estrada, azul, lava-rápido, americana, kitsch, arquitetura, vintage","фотография, кит, здание, обочина, синий, автомойка, американа, китч, архитектура, винтаж"
"kitty.jpg","cat, kitten, tabby, pet, animal, fur, whiskers","gato, gatito, atigrado, mascota, animal, pelaje, bigotes","chat, chaton, tigré, animal de compagnie, animal, fourrure, moustaches","Katze, Kätzchen, Tabby, Haustier, Tier, Fell, Schnurrhaare","猫、子猫、キジトラ、ペット、動物、毛皮、ひげ","고양이, 아기 고양이, 얼룩고양이, 애완동물, 동물, 털, 수염","猫、小猫、虎斑猫、宠物、动物、皮毛、胡须","貓、小貓、虎斑貓、寵物、動物、皮毛、鬍鬚","gato, gatinho, tigrado, animal de estimação, animal, pelo, bigodes","кот, котёнок, полосатый, питомец, животное, мех, усы"
